Artikelname;Anbietername;Wirkstoffe;ATC-C. (ADV);ATC 4 Steller;Stoffklasse;;;;;;
BROMAZEPAM ;1 A Pharma;Bromazepam;N05BA08;N05B;ANXIOLYTIKA;;;;;;
BUDESONID ;1 A Pharma;Budesonid;R01AD05;R01A;DEKONGESTIVA UND ANDERE RHINOLOGIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
BUPRE ;1 A Pharma;Buprenorphin;N02AE01;N02A;OPIOIDE;;;;;;
CABERGOLIN ;1 A Pharma;Cabergolin;G02CB03;G02C;ANDERE GYNÄKOLOGIKA;;;;;;
CALCIPOTRIOL ;1 A Pharma;Calcipotriol;D05AX02;D05A;ANTIPSORIATIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
CANDESARTAN ;1 A Pharma;Candesartan cilexetil;C09CA06;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
CARBAMAZEPIN ;1 A Pharma;Carbamazepin;N03AF01;N03A;ANTIEPILEPTIKA;;;;;;
CARVEDILOL ;1 A Pharma;Carvedilol;C07AG02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
CEFACLOR ;1 A Pharma;Cefaclor-1-Wasser;J01DC04;J01D;ANDERE BETA-LACTAM-ANTIBIOTIKA;;;;;;
CEFADROXIL ;1 A Pharma;Cefadroxil-1-Wasser;J01DB05;J01D;ANDERE BETA-LACTAM-ANTIBIOTIKA;;;;;;
CEFPODOXIM ;1 A Pharma;Cefpodoxim proxetil;J01DD13;J01D;ANDERE BETA-LACTAM-ANTIBIOTIKA;;;;;;
CEFUROXIM ;1 A Pharma;Cefuroxim axetil;J01DC02;J01D;ANDERE BETA-LACTAM-ANTIBIOTIKA;;;;;;
CELECOXIB ;1 A Pharma;Celecoxib;M01AH01;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
CIPRO ;1 A Pharma;Ciprofloxacin hydrochlorid-1-Wasser;J01MA02;J01M;CHINOLONE;;;;;;
CITALOPRAM ;1 A Pharma;Citalopram hydrobromid;N06AB04;N06A;ANTIDEPRESSIVA;;;;;;
CLARITHROMYCIN ;1 A Pharma;Clarithromycin;J01FA09;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
CLINDAMYCIN ;1 A Pharma;Clindamycin hydrochlorid;J01FF01;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
CLODRON ;1 A Pharma;Clodronsäure dinatrium-4-Wasser;M05BA02;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
CLOPIDOGREL ;1 A Pharma;Clopidogrel hydrochlorid;B01AC04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
CLOZAPIN ;1 A Pharma;Clozapin;N05AH02;N05A;ANTIPSYCHOTIKA;;;;;;
COTRIM ;1 A Pharma;Co-trimoxazol;J01EE01;J01E;SULFONAMIDE UND TRIMETHOPRIM;;;;;;
DESLORATADIN ;1 A Pharma;Desloratadin;R06AX27;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
DICLO ;1 A Pharma;Diclofenac natrium;M01AB05;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
DONEPEZIL ;1 A Pharma;Donepezil hydrochlorid;N06DA02;N06D;ANTIDEMENTIVA;;;;;;
DORZOLAMID ;1 A Pharma;Dorzolamid hydrochlorid;S01EC03;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
DOXAZOSIN ;1 A Pharma;Doxazosin mesilat;C02CA04;C02C;ANTIADRENERGE MITTEL, PERIPHER WIRKEND;;;;;;
DOXEPIN ;1 A Pharma;Doxepin hydrochlorid;N06AA12;N06A;ANTIDEPRESSIVA;;;;;;
DOXYCYCLIN ;1 A Pharma;Doxycyclin-1-Wasser;J01AA02;J01A;TETRACYCLINE;;;;;;
DULOXETIN ;1 A Pharma;Duloxetin hydrochlorid;G04BX18;G04B;UROLOGIKA;;;;;;
ENALAPRIL ;1 A Pharma;Enalapril maleat;C09AA02;C09A;ACE-HEMMER, REIN;;;;;;
EPLERENON ;1 A Pharma;Eplerenon;C03DA04;C03D;KALIUM SPARENDE MITTEL;;;;;;
ESCITALOPRAM ;1 A Pharma;Escitalopram oxalat;N06AB10;N06A;ANTIDEPRESSIVA;;;;;;
ESTRADIOL ;1 A Pharma;Estradiol;G03CA03;G03C;ESTROGENE;;;;;;
ETORI ;1 A Pharma;Etoricoxib;M01AH05;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
EXEMESTAN ;1 A Pharma;Exemestan;L02BG06;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
FELODIPIN ;1 A Pharma;Felodipin;C08CA02;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
FENTANYL ;1 A Pharma;Fentanyl;N02AB03;N02A;OPIOIDE;;;;;;
FINASTERID ;1 A Pharma;Finasterid;D11AX10;D11A;ANDERE DERMATIKA;;;;;;
FLECAINID ;1 A Pharma;Flecainid acetat;C01BC04;C01B;ANTIARRHYTHMIKA, KLASSE I UND III;;;;;;
FLUCONAZOL ;1 A Pharma;Fluconazol;J02AC01;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
FLUOXETIN ;1 A Pharma;Fluoxetin hydrochlorid;N06AB03;N06A;ANTIDEPRESSIVA;;;;;;
FUROSEMID ;1 A Pharma;Furosemid;C03CA01;C03C;HIGH-CEILING-DIURETIKA;;;;;;
GABAPENTIN ;1 A Pharma;Gabapentin;N03AX12;N03A;ANTIEPILEPTIKA;;;;;;
GALANTAMIN ;1 A Pharma;Galantamin hydrobromid;N06DA04;N06D;ANTIDEMENTIVA;;;;;;
GLIMEPIRID ;1 A Pharma;Glimepirid;A10BB12;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
HCT ;1 A Pharma;Hydrochlorothiazid;C03AA03;C03A;LOW-CEILING-DIURETIKA, THIAZIDE;;;;;;
HYDROMORPHON ;1 A Pharma;Hydromorphon hydrochlorid;N02AA03;N02A;OPIOIDE;;;;;;
HYDROXYCARBAMID ;1 A Pharma;Hydroxycarbamid;L01XX05;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
IBANDRONSÄURE ;1 A Pharma;Ibandronsäure natrium-1-Wasser;M05BA06;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
IBU ;1 A Pharma;Ibuprofen;M01AE01;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
INDO-PAED ;1 A Pharma;Indometacin;M01AB01;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
IRBESARTAN ;1 A Pharma;Irbesartan;C09CA04;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
ITRACONAZOL ;1 A Pharma;Itraconazol;J02AC02;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
LAMOTRIGIN ;1 A Pharma;Lamotrigin;N03AX09;N03A;ANTIEPILEPTIKA;;;;;;
LANSOPRAZOL ;1 A Pharma;Lansoprazol;A02BC03;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
LATANOPROST ;1 A Pharma;Latanoprost;S01EE01;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
LEFLUNOMID ;1 A Pharma;Leflunomid;L04AA13;L04A;IMMUNSUPPRESSIVA;;;;;;
LETROZOL ;1 A Pharma;Letrozol;L02BG04;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
LEVETIRACETAM ;1 A Pharma;Levetiracetam;N03AX14;N03A;ANTIEPILEPTIKA;;;;;;
LEVOCETIRIZIN ;1 A Pharma;Levocetirizin dihydrochlorid;R06AE09;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
LINEZOLID ;1 A Pharma;Linezolid;J01XX08;J01X;ANDERE ANTIBIOTIKA;;;;;;
LISINOPRIL ;1 A Pharma;Lisinopril-2-Wasser;C09AA03;C09A;ACE-HEMMER, REIN;;;;;;
LOPERAMID ;1 A Pharma;Loperamid hydrochlorid;A07DA03;A07D;MOTILITÄTSHEMMER;;;;;;
LOSARTAN ;1 A Pharma;Losartan kalium;C09CA01;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
LOVASTATIN ;1 A Pharma;Lovastatin;C10AA02;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
L-THYROXIN ;1 A Pharma;Levothyroxin natrium;H03AA01;H03A;SCHILDDRÜSENPRÄPARATE;;;;;;
MCP ;1 A Pharma;Metoclopramid hydrochlorid-1-Wasser;A03FA01;A03F;PROKINETIKA;;;;;;
MELINAGYN ;1 A Pharma;Desogestrel;G03AC09;G03A;HORMONELLE KONTRAZEPTIVA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
MELOXICAM ;1 A Pharma;Meloxicam;M01AC06;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
MELPERON ;1 A Pharma;Melperon hydrochlorid;N05AD03;N05A;ANTIPSYCHOTIKA;;;;;;
MEMANTIN ;1 A Pharma;Memantin hydrochlorid;N06DX01;N06D;ANTIDEMENTIVA;;;;;;
METAMIZOL ;1 A Pharma;Metamizol natrium-1-Wasser;N02BB02;N02B;ANDERE ANALGETIKA UND ANTIPYRETIKA;;;;;;
METFORMIN ;1 A Pharma;Metformin hydrochlorid;A10BA02;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
METHYLPHENIDAT ;1 A Pharma;Methylphenidat hydrochlorid;N06BA04;N06B;PSYCHOSTIMULANZIEN, MITTEL ZUR BEHANDLUNG DER ADHS UND NOOTROPIKA;;;;;;
METHYLPHENIDATHYDROCHLORID ;1 A Pharma;Methylphenidat hydrochlorid;N06BA04;N06B;PSYCHOSTIMULANZIEN, MITTEL ZUR BEHANDLUNG DER ADHS UND NOOTROPIKA;;;;;;
METOPROLOL ;1 A Pharma;Metoprolol tartrat;C07AB02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
METOPROLOLSUCCINAT ;1 A Pharma;Metoprolol succinat;C07AB02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
METRONIDAZOL ;1 A Pharma;Metronidazol;P01AB01;P01A;MITTEL GEGEN AMÖBIASIS UND ANDERE PROTOZOEN-ERKRANKUNGEN;;;;;;
MIRTAZAPIN ;1 A Pharma;Mirtazapin;N06AX11;N06A;ANTIDEPRESSIVA;;;;;;
MOCLOBEMID ;1 A Pharma;Moclobemid;N06AG02;N06A;ANTIDEPRESSIVA;;;;;;
MOLSIDOMIN ;1 A Pharma;Molsidomin;C01DX12;C01D;BEI HERZERKRANKUNGEN EINGESETZTE VASODILATATOREN;;;;;;
MOMETASONFUROAT ;1 A Pharma;Mometason furoat-1-Wasser;R01AD09;R01A;DEKONGESTIVA UND ANDERE RHINOLOGIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
MONTELUKAST ;1 A Pharma;Montelukast natrium;R03DC03;R03D;ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
MORPH ;1 A Pharma;Morphin sulfat;N02AA01;N02A;OPIOIDE;;;;;;
MOXIFLOXACIN ;1 A Pharma;Moxifloxacin hydrochlorid;J01MA14;J01M;CHINOLONE;;;;;;
MOXONIDIN ;1 A Pharma;Moxonidin;C02AC05;C02A;ANTIADRENERGE MITTEL, ZENTRAL WIRKEND;;;;;;
MYCOPHENOLAT ;1 A Pharma;Mycophenolat mofetil;L04AA06;L04A;IMMUNSUPPRESSIVA;;;;;;
NAC ;1 A Pharma;Acetylcystein;R05CB01;R05C;EXPEKTORANZIEN, EXKL. KOMBINATIONEN MIT ANTITUSSIVA;;;;;;
NAPROXEN ;1 A Pharma;Naproxen;M01AE02;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
NARATRIPTAN ;1 A Pharma;Naratriptan hydrochlorid;N02CC02;N02C;MIGRÄNEMITTEL;;;;;;
NITRENDIPIN ;1 A Pharma;Nitrendipin;C08CA08;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
NORFLOXACIN ;1 A Pharma;Norfloxacin;J01MA06;J01M;CHINOLONE;;;;;;
NOVAMINSULFON ;1 A Pharma;Metamizol natrium-1-Wasser;N02BB02;N02B;ANDERE ANALGETIKA UND ANTIPYRETIKA;;;;;;
OFLOXACIN ;1 A Pharma;Ofloxacin;J01MA01;J01M;CHINOLONE;;;;;;
OLANZAPIN ;1 A Pharma;Olanzapin;N05AH03;N05A;ANTIPSYCHOTIKA;;;;;;
OLMESARTAN ;1 A Pharma;Olmesartan medoxomil;C09CA08;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
OMEPRAZOL ;1 A Pharma;Omeprazol;A02BC01;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
ONDANSETRON ;1 A Pharma;Ondansetron hydrochlorid-2-Wasser;A04AA01;A04A;ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT;;;;;;
OPIPRAMOL ;1 A Pharma;Opipramol dihydrochlorid;N06AA05;N06A;ANTIDEPRESSIVA;;;;;;
OXAZEPAM ;1 A Pharma;Oxazepam;N05BA04;N05B;ANXIOLYTIKA;;;;;;
OXCARBAZEPIN ;1 A Pharma;Oxcarbazepin;N03AF02;N03A;ANTIEPILEPTIKA;;;;;;
OXYCODONHYDROCHLORID ;1 A Pharma;Oxycodon hydrochlorid;N02AA05;N02A;OPIOIDE;;;;;;
PAROXETIN ;1 A Pharma;Paroxetin hydrochlorid;N06AB05;N06A;ANTIDEPRESSIVA;;;;;;
PEN ;1 A Pharma;Phenoxymethylpenicillin kalium;J01CE02;J01C;BETALACTAM-ANTIBIOTIKA, PENICILLINE;;;;;;
PERINDOPRIL ;1 A Pharma;Perindopril erbumin;C09AA04;C09A;ACE-HEMMER, REIN;;;;;;
PIPAMPERON ;1 A Pharma;Pipamperon dihydrochlorid;N05AD05;N05A;ANTIPSYCHOTIKA;;;;;;
PIRETANID ;1 A Pharma;Piretanid;C03CA03;C03C;HIGH-CEILING-DIURETIKA;;;;;;
PRAMIPEXOL ;1 A Pharma;Pramipexol dihydrochlorid-1-Wasser;N04BC05;N04B;DOPAMINERGE MITTEL;;;;;;
PRAVASTATIN ;1 A Pharma;Pravastatin natrium;C10AA03;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
PREGABALIN ;1 A Pharma;Pregabalin;N03AX16;N03A;ANTIEPILEPTIKA;;;;;;
PROPIVERIN ;1 A Pharma;Propiverin hydrochlorid;G04BD06;G04B;UROLOGIKA;;;;;;
QUETIAPIN ;1 A Pharma;Quetiapin hemifumarat;N05AH04;N05A;ANTIPSYCHOTIKA;;;;;;
RAMIPRIL ;1 A Pharma;Ramipril;C09AA05;C09A;ACE-HEMMER, REIN;;;;;;
RANITIDIN ;1 A Pharma;Ranitidin hydrochlorid;A02BA02;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
RASAGILIN ;1 A Pharma;Rasagilin tartrat;N04BD02;N04B;DOPAMINERGE MITTEL;;;;;;
REPAGLINID ;1 A Pharma;Repaglinid;A10BX02;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
RILUZOL ;1 A Pharma;Riluzol;N07XX02;N07X;ANDERE MITTEL FÜR DAS NERVENSYSTEM;;;;;;
RISEDRONSÄURE ;1 A Pharma;Risedronat natrium;M05BA07;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
RISPERIDON ;1 A Pharma;Risperidon;N05AX08;N05A;ANTIPSYCHOTIKA;;;;;;
RIVASTIGMIN ;1 A Pharma;Rivastigmin;N06DA03;N06D;ANTIDEMENTIVA;;;;;;
RIZATRIPTAN ;1 A Pharma;Rizatriptan benzoat;N02CC04;N02C;MIGRÄNEMITTEL;;;;;;
ROPINIROL ;1 A Pharma;Ropinirol hydrochlorid;N04BC04;N04B;DOPAMINERGE MITTEL;;;;;;
ROXI ;1 A Pharma;Roxithromycin;J01FA06;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
SALBUTAMOL ;1 A Pharma;Salbutamol hemisulfat;R03AC02;R03A;INHALATIVE SYMPATHOMIMETIKA;;;;;;
SERTRALIN ;1 A Pharma;Sertralin hydrochlorid;N06AB06;N06A;ANTIDEPRESSIVA;;;;;;
SILDE ;1 A Pharma;Sildenafil citrat;C02KX06;C02K;ANDERE ANTIHYPERTENSIVA;;;;;;
SILDENAFIL ;1 A Pharma;Sildenafil citrat;G04BE03;G04B;UROLOGIKA;;;;;;
SIMVASTATIN ;1 A Pharma;Simvastatin;C10AA01;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
SOTALOL ;1 A Pharma;Sotalol hydrochlorid;C07AA07;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
SPIRONOLACTON ;1 A Pharma;Spironolacton;C03DA01;C03D;KALIUM SPARENDE MITTEL;;;;;;
SULPIRID ;1 A Pharma;Sulpirid;N05AL01;N05A;ANTIPSYCHOTIKA;;;;;;
SUMATRIPTAN ;1 A Pharma;Sumatriptan succinat;N02CC01;N02C;MIGRÄNEMITTEL;;;;;;
TADAL ;1 A Pharma;Tadalafil;C02KX07;C02K;ANDERE ANTIHYPERTENSIVA;;;;;;
TADALAFIL ;1 A Pharma;Tadalafil;G04BE08;G04B;UROLOGIKA;;;;;;
TAMOX ;1 A Pharma;Tamoxifen dihydrogencitrat;L02BA01;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
TAMSULOSIN ;1 A Pharma;Tamsulosin hydrochlorid;G04CA02;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
TELMISARTAN ;1 A Pharma;Telmisartan;C09CA07;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
TERAZOSIN ;1 A Pharma;Terazosin hydrochlorid-2-Wasser;G04CA03;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
TERBINAFIN ;1 A Pharma;Terbinafin hydrochlorid;D01BA02;D01B;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
TIAPRID ;1 A Pharma;Tiaprid hydrochlorid;N05AL03;N05A;ANTIPSYCHOTIKA;;;;;;
TIMOLOL ;1 A Pharma;Timolol hydrogenmaleat;S01ED01;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
TOPIRAMAT ;1 A Pharma;Topiramat;N03AX11;N03A;ANTIEPILEPTIKA;;;;;;
TORASEMID ;1 A Pharma;Torasemid;C03CA04;C03C;HIGH-CEILING-DIURETIKA;;;;;;
TRAMADOL ;1 A Pharma;Tramadol hydrochlorid;N02AX02;N02A;OPIOIDE;;;;;;
TRIMIPRAMIN ;1 A Pharma;Trimipramin hydrogenmaleat;N06AA06;N06A;ANTIDEPRESSIVA;;;;;;
VALACICLOVIR ;1 A Pharma;Valaciclovir hydrochlorid;J05AB11;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
VALPROAT ;1 A Pharma;Valproat natrium;N03AG01;N03A;ANTIEPILEPTIKA;;;;;;
VALSARTAN ;1 A Pharma;Valsartan;C09CA03;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
VENLAFAXIN ;1 A Pharma;Venlafaxin hydrochlorid;N06AX16;N06A;ANTIDEPRESSIVA;;;;;;
VERAPAMIL ;1 A Pharma;Verapamil hydrochlorid;C08DA01;C08D;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER HERZWIRKUNG;;;;;;
VORICONAZOL ;1 A Pharma;Voriconazol;J02AC03;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
XIPAMID ;1 A Pharma;Xipamid;C03BA10;C03B;LOW-CEILING-DIURETIKA, EXKL. THIAZIDE;;;;;;
ZIPRASIDON ;1 A Pharma;Ziprasidon hydrochlorid-1-Wasser;N05AE04;N05A;ANTIPSYCHOTIKA;;;;;;
ZOLE ;1 A Pharma;Zoledronsäure-1-Wasser;M05BA08;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
ZOLEDRONSÄURE ;1 A Pharma;Zoledronsäure-1-Wasser;M05BA08;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
ZOLMITRIPTAN ;1 A Pharma;Zolmitriptan;N02CC03;N02C;MIGRÄNEMITTEL;;;;;;
ZOLPIDEM ;1 A Pharma;Zolpidem hemitartrat;N05CF02;N05C;HYPNOTIKA UND SEDATIVA;;;;;;
ZONISAMID ;1 A Pharma;Zonisamid;N03AX15;N03A;ANTIEPILEPTIKA;;;;;;
ZOPICLON ;1 A Pharma;Zopiclon;N05CF01;N05C;HYPNOTIKA UND SEDATIVA;;;;;;
MEPIVASTESIN ;3M Deutschland;Mepivacain hydrochlorid;N01BB03;N01B;LOKALANÄSTHETIKA;;;;;;
SCANDONEST ;A-1 Dental;Mepivacain hydrochlorid;N01BB03;N01B;LOKALANÄSTHETIKA;;;;;;
SEPTOGEL ;A-1 Dental;Natriumfluorid;A01AA01;A01A;STOMATOLOGIKA;;;;;;
AMANTAGAMMA ;AAA Pharma;Amantadin hydrochlorid;N04BB01;N04B;DOPAMINERGE MITTEL;;;;;;
AMIOGAMMA ;AAA Pharma;Amiodaron hydrochlorid;C01BD01;C01B;ANTIARRHYTHMIKA, KLASSE I UND III;;;;;;
AMISULPRID ;AAA Pharma;Amisulprid;N05AL05;N05A;ANTIPSYCHOTIKA;;;;;;
AMLODIGAMMA ;AAA Pharma;Amlodipin besilat;C08CA01;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
AMLODIPIN ;AAA Pharma;Amlodipin besilat;C08CA01;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
BISOGAMMA ;AAA Pharma;Bisoprolol hemifumarat;C07AB07;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
BISOPROLOL ;AAA Pharma;Bisoprolol hemifumarat;C07AB07;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
CANDEGAMMA ;AAA Pharma;Candesartan cilexetil;C09CA06;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
CANDESARTAN ;AAA Pharma;Candesartan cilexetil;C09CA06;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
CAPTOGAMMA ;AAA Pharma;Captopril;C09AA01;C09A;ACE-HEMMER, REIN;;;;;;
CARBAGAMMA ;AAA Pharma;Carbamazepin;N03AF01;N03A;ANTIEPILEPTIKA;;;;;;
CARVEDIGAMMA ;AAA Pharma;Carvedilol;C07AG02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
CARVEDILOL ;AAA Pharma;Carvedilol;C07AG02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
CLOPIDOGREL ;AAA Pharma;Clopidogrel;B01AC04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
